
LINEST FOR Y,,,LINEST FOR U,,,LINEST FOR V,
=INDEX(LINEST(A14:A7013;B14:B7013;1;1);1;1),=INDEX(LINEST(A14:A7013;B14:B7013;1;1);1;2),,=INDEX(LINEST(D14:D7013;E14:E7013;1;1);1;1),=INDEX(LINEST(D14:D7013;E14:E7013;1;1);1;2),,=INDEX(LINEST(G14:G7013;H14:H7013;1;1);1;1),=INDEX(LINEST(G14:G7013;H14:H7013;1;1);1;2),,
=INDEX(LINEST(A14:A7013;B14:B7013;1;1);2;1),=INDEX(LINEST(A14:A7013;B14:B7013;1;1);2;2),,=INDEX(LINEST(D14:D7013;E14:E7013;1;1);2;1),=INDEX(LINEST(D14:D7013;E14:E7013;1;1);2;2),,=INDEX(LINEST(G14:G7013;H14:H7013;1;1);2;1),=INDEX(LINEST(G14:G7013;H14:H7013;1;1);2;2),,
=INDEX(LINEST(A14:A7013;B14:B7013;1;1);3;1),=INDEX(LINEST(A14:A7013;B14:B7013;1;1);3;2),,=INDEX(LINEST(D14:D7013;E14:E7013;1;1);3;1),=INDEX(LINEST(D14:D7013;E14:E7013;1;1);3;2),,=INDEX(LINEST(G14:G7013;H14:H7013;1;1);3;1),=INDEX(LINEST(G14:G7013;H14:H7013;1;1);3;2),,
=INDEX(LINEST(A14:A7013;B14:B7013;1;1);4;1),=INDEX(LINEST(A14:A7013;B14:B7013;1;1);4;2),,=INDEX(LINEST(D14:D7013;E14:E7013;1;1);4;1),=INDEX(LINEST(D14:D7013;E14:E7013;1;1);4;2),,=INDEX(LINEST(G14:G7013;H14:H7013;1;1);4;1),=INDEX(LINEST(G14:G7013;H14:H7013;1;1);4;2),,
=INDEX(LINEST(A14:A7013;B14:B7013;1;1);5;1),=INDEX(LINEST(A14:A7013;B14:B7013;1;1);5;2),,=INDEX(LINEST(D14:D7013;E14:E7013;1;1);5;1),=INDEX(LINEST(D14:D7013;E14:E7013;1;1);5;2),,=INDEX(LINEST(G14:G7013;H14:H7013;1;1);5;1),=INDEX(LINEST(G14:G7013;H14:H7013;1;1);5;2),,

1/m,-b/m,,1/m,-b/m,,1/m,-b/m,,
=1/A3,=-B3/A3,,=1/D3,=-E3/D3,,=1/G3,=-H3/G3,,

Y,,,U,,,V,
w1,b1,,w1,b1,,w1,b1,,
147,144.401,yellow,161,160.538,yellow,53,54.128,yellow,
146,144.401,yellow,163,160.538,yellow,56,54.128,yellow,
147,144.401,yellow,163,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,161,160.538,yellow,50,54.128,yellow,
146,144.401,yellow,166,160.538,yellow,54,54.128,yellow,
147,144.401,yellow,163,160.538,yellow,55,54.128,yellow,
146,144.401,yellow,162,160.538,yellow,57,54.128,yellow,
145,144.401,yellow,163,160.538,yellow,56,54.128,yellow,
144,144.401,yellow,167,160.538,yellow,57,54.128,yellow,
145,144.401,yellow,166,160.538,yellow,55,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
146,144.401,yellow,165,160.538,yellow,53,54.128,yellow,
146,144.401,yellow,165,160.538,yellow,51,54.128,yellow,
146,144.401,yellow,164,160.538,yellow,55,54.128,yellow,
148,144.401,yellow,160,160.538,yellow,53,54.128,yellow,
146,144.401,yellow,163,160.538,yellow,55,54.128,yellow,
146,144.401,yellow,165,160.538,yellow,55,54.128,yellow,
147,144.401,yellow,163,160.538,yellow,54,54.128,yellow,
146,144.401,yellow,163,160.538,yellow,55,54.128,yellow,
146,144.401,yellow,162,160.538,yellow,53,54.128,yellow,
147,144.401,yellow,163,160.538,yellow,50,54.128,yellow,
146,144.401,yellow,167,160.538,yellow,53,54.128,yellow,
146,144.401,yellow,165,160.538,yellow,53,54.128,yellow,
146,144.401,yellow,165,160.538,yellow,51,54.128,yellow,
145,144.401,yellow,164,160.538,yellow,55,54.128,yellow,
145,144.401,yellow,166,160.538,yellow,57,54.128,yellow,
146,144.401,yellow,166,160.538,yellow,56,54.128,yellow,
146,144.401,yellow,163,160.538,yellow,55,54.128,yellow,
145,144.401,yellow,165,160.538,yellow,58,54.128,yellow,
147,144.401,yellow,162,160.538,yellow,56,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,59,54.128,yellow,
146,144.401,yellow,165,160.538,yellow,57,54.128,yellow,
146,144.401,yellow,166,160.538,yellow,55,54.128,yellow,
147,144.401,yellow,165,160.538,yellow,54,54.128,yellow,
146,144.401,yellow,165,160.538,yellow,56,54.128,yellow,
146,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
145,144.401,yellow,167,160.538,yellow,57,54.128,yellow,
145,144.401,yellow,165,160.538,yellow,55,54.128,yellow,
147,144.401,yellow,165,160.538,yellow,55,54.128,yellow,
146,144.401,yellow,163,160.538,yellow,51,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,56,54.128,yellow,
146,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
146,144.401,yellow,166,160.538,yellow,55,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,56,54.128,yellow,
147,144.401,yellow,163,160.538,yellow,59,54.128,yellow,
147,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
145,144.401,yellow,165,160.538,yellow,58,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,51,54.128,yellow,
147,144.401,yellow,166,160.538,yellow,55,54.128,yellow,
145,144.401,yellow,164,160.538,yellow,55,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,50,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
149,144.401,yellow,163,160.538,yellow,51,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,52,54.128,yellow,
148,144.401,yellow,162,160.538,yellow,50,54.128,yellow,
147,144.401,yellow,166,160.538,yellow,50,54.128,yellow,
148,144.401,yellow,166,160.538,yellow,51,54.128,yellow,
148,144.401,yellow,162,160.538,yellow,49,54.128,yellow,
150,144.401,yellow,165,160.538,yellow,52,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,54,54.128,yellow,
150,144.401,yellow,162,160.538,yellow,51,54.128,yellow,
147,144.401,yellow,162,160.538,yellow,49,54.128,yellow,
147,144.401,yellow,167,160.538,yellow,55,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
146,144.401,yellow,165,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,167,160.538,yellow,53,54.128,yellow,
147,144.401,yellow,164,160.538,yellow,52,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,55,54.128,yellow,
148,144.401,yellow,162,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,162,160.538,yellow,51,54.128,yellow,
151,144.401,yellow,163,160.538,yellow,51,54.128,yellow,
147,144.401,yellow,164,160.538,yellow,52,54.128,yellow,
150,144.401,yellow,166,160.538,yellow,54,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,49,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
147,144.401,yellow,164,160.538,yellow,52,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,54,54.128,yellow,
147,144.401,yellow,164,160.538,yellow,56,54.128,yellow,
147,144.401,yellow,165,160.538,yellow,60,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,54,54.128,yellow,
148,144.401,yellow,167,160.538,yellow,53,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,50,54.128,yellow,
150,144.401,yellow,165,160.538,yellow,57,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,50,54.128,yellow,
145,144.401,yellow,165,160.538,yellow,52,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,53,54.128,yellow,
149,144.401,yellow,163,160.538,yellow,54,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,49,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,53,54.128,yellow,
151,144.401,yellow,164,160.538,yellow,50,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,49,54.128,yellow,
147,144.401,yellow,164,160.538,yellow,57,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,53,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,57,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,57,54.128,yellow,
150,144.401,yellow,162,160.538,yellow,51,54.128,yellow,
149,144.401,yellow,166,160.538,yellow,55,54.128,yellow,
150,144.401,yellow,165,160.538,yellow,53,54.128,yellow,
147,144.401,yellow,165,160.538,yellow,57,54.128,yellow,
148,144.401,yellow,166,160.538,yellow,56,54.128,yellow,
148,144.401,yellow,167,160.538,yellow,51,54.128,yellow,
149,144.401,yellow,166,160.538,yellow,55,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,166,160.538,yellow,58,54.128,yellow,
150,144.401,yellow,166,160.538,yellow,53,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,54,54.128,yellow,
150,144.401,yellow,166,160.538,yellow,56,54.128,yellow,
149,144.401,yellow,163,160.538,yellow,50,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,51,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
147,144.401,yellow,165,160.538,yellow,53,54.128,yellow,
151,144.401,yellow,164,160.538,yellow,52,54.128,yellow,
148,144.401,yellow,162,160.538,yellow,53,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
151,144.401,yellow,165,160.538,yellow,49,54.128,yellow,
150,144.401,yellow,163,160.538,yellow,49,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,61,54.128,yellow,
150,144.401,yellow,167,160.538,yellow,51,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,52,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,54,54.128,yellow,
147,144.401,yellow,166,160.538,yellow,59,54.128,yellow,
150,144.401,yellow,165,160.538,yellow,51,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,49,54.128,yellow,
150,144.401,yellow,162,160.538,yellow,48,54.128,yellow,
150,144.401,yellow,167,160.538,yellow,53,54.128,yellow,
151,144.401,yellow,163,160.538,yellow,48,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,56,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,57,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,52,54.128,yellow,
150,144.401,yellow,162,160.538,yellow,54,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,52,54.128,yellow,
151,144.401,yellow,162,160.538,yellow,53,54.128,yellow,
151,144.401,yellow,163,160.538,yellow,49,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,60,54.128,yellow,
152,144.401,yellow,164,160.538,yellow,49,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,51,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,52,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,56,54.128,yellow,
147,144.401,yellow,164,160.538,yellow,55,54.128,yellow,
149,144.401,yellow,166,160.538,yellow,51,54.128,yellow,
151,144.401,yellow,164,160.538,yellow,50,54.128,yellow,
150,144.401,yellow,163,160.538,yellow,53,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,55,54.128,yellow,
150,144.401,yellow,163,160.538,yellow,55,54.128,yellow,
151,144.401,yellow,162,160.538,yellow,49,54.128,yellow,
146,144.401,yellow,165,160.538,yellow,54,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,51,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
147,144.401,yellow,166,160.538,yellow,52,54.128,yellow,
152,144.401,yellow,163,160.538,yellow,48,54.128,yellow,
149,144.401,yellow,162,160.538,yellow,49,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,57,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,54,54.128,yellow,
149,144.401,yellow,163,160.538,yellow,52,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,55,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,54,54.128,yellow,
148,144.401,yellow,167,160.538,yellow,51,54.128,yellow,
149,144.401,yellow,163,160.538,yellow,51,54.128,yellow,
149,144.401,yellow,163,160.538,yellow,52,54.128,yellow,
150,144.401,yellow,165,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,166,160.538,yellow,55,54.128,yellow,
147,144.401,yellow,167,160.538,yellow,55,54.128,yellow,
150,144.401,yellow,167,160.538,yellow,55,54.128,yellow,
150,144.401,yellow,165,160.538,yellow,50,54.128,yellow,
150,144.401,yellow,163,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,55,54.128,yellow,
151,144.401,yellow,163,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,56,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,55,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,57,54.128,yellow,
150,144.401,yellow,163,160.538,yellow,52,54.128,yellow,
150,144.401,yellow,165,160.538,yellow,54,54.128,yellow,
151,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
149,144.401,yellow,166,160.538,yellow,56,54.128,yellow,
149,144.401,yellow,167,160.538,yellow,57,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
147,144.401,yellow,166,160.538,yellow,53,54.128,yellow,
149,144.401,yellow,162,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,162,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,55,54.128,yellow,
150,144.401,yellow,163,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,54,54.128,yellow,
150,144.401,yellow,166,160.538,yellow,51,54.128,yellow,
149,144.401,yellow,167,160.538,yellow,59,54.128,yellow,
151,144.401,yellow,164,160.538,yellow,49,54.128,yellow,
149,144.401,yellow,163,160.538,yellow,49,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
147,144.401,yellow,163,160.538,yellow,55,54.128,yellow,
147,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,52,54.128,yellow,
147,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,54,54.128,yellow,
146,144.401,yellow,164,160.538,yellow,57,54.128,yellow,
146,144.401,yellow,162,160.538,yellow,57,54.128,yellow,
146,144.401,yellow,165,160.538,yellow,58,54.128,yellow,
147,144.401,yellow,163,160.538,yellow,51,54.128,yellow,
147,144.401,yellow,163,160.538,yellow,54,54.128,yellow,
146,144.401,yellow,165,160.538,yellow,55,54.128,yellow,
146,144.401,yellow,164,160.538,yellow,55,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,55,54.128,yellow,
147,144.401,yellow,160,160.538,yellow,54,54.128,yellow,
147,144.401,yellow,163,160.538,yellow,56,54.128,yellow,
148,144.401,yellow,161,160.538,yellow,56,54.128,yellow,
149,144.401,yellow,160,160.538,yellow,51,54.128,yellow,
147,144.401,yellow,164,160.538,yellow,52,54.128,yellow,
147,144.401,yellow,163,160.538,yellow,55,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
146,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
148,144.401,yellow,167,160.538,yellow,52,54.128,yellow,
147,144.401,yellow,165,160.538,yellow,53,54.128,yellow,
146,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
147,144.401,yellow,164,160.538,yellow,55,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,59,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,52,54.128,yellow,
147,144.401,yellow,161,160.538,yellow,54,54.128,yellow,
148,144.401,yellow,161,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,54,54.128,yellow,
147,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
149,144.401,yellow,163,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,57,54.128,yellow,
149,144.401,yellow,163,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,161,160.538,yellow,55,54.128,yellow,
147,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
145,144.401,yellow,165,160.538,yellow,55,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,58,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,53,54.128,yellow,
146,144.401,yellow,166,160.538,yellow,58,54.128,yellow,
147,144.401,yellow,165,160.538,yellow,55,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,55,54.128,yellow,
149,144.401,yellow,163,160.538,yellow,54,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,55,54.128,yellow,
148,144.401,yellow,162,160.538,yellow,52,54.128,yellow,
147,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
146,144.401,yellow,162,160.538,yellow,52,54.128,yellow,
147,144.401,yellow,163,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,56,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,55,54.128,yellow,
150,144.401,yellow,162,160.538,yellow,50,54.128,yellow,
148,144.401,yellow,162,160.538,yellow,52,54.128,yellow,
150,144.401,yellow,162,160.538,yellow,57,54.128,yellow,
149,144.401,yellow,160,160.538,yellow,49,54.128,yellow,
146,144.401,yellow,167,160.538,yellow,54,54.128,yellow,
148,144.401,yellow,166,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
148,144.401,yellow,161,160.538,yellow,54,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,52,54.128,yellow,
150,144.401,yellow,163,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,163,160.538,yellow,52,54.128,yellow,
147,144.401,yellow,165,160.538,yellow,53,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,54,54.128,yellow,
147,144.401,yellow,163,160.538,yellow,54,54.128,yellow,
146,144.401,yellow,165,160.538,yellow,57,54.128,yellow,
147,144.401,yellow,165,160.538,yellow,54,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
149,144.401,yellow,162,160.538,yellow,55,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
147,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,53,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,55,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,56,54.128,yellow,
147,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
149,144.401,yellow,163,160.538,yellow,54,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,52,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,54,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
150,144.401,yellow,163,160.538,yellow,53,54.128,yellow,
150,144.401,yellow,163,160.538,yellow,54,54.128,yellow,
148,144.401,yellow,166,160.538,yellow,54,54.128,yellow,
150,144.401,yellow,163,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,162,160.538,yellow,54,54.128,yellow,
151,144.401,yellow,163,160.538,yellow,51,54.128,yellow,
148,144.401,yellow,162,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,163,160.538,yellow,59,54.128,yellow,
150,144.401,yellow,162,160.538,yellow,56,54.128,yellow,
150,144.401,yellow,163,160.538,yellow,51,54.128,yellow,
150,144.401,yellow,163,160.538,yellow,57,54.128,yellow,
150,144.401,yellow,163,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,57,54.128,yellow,
151,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
148,144.401,yellow,166,160.538,yellow,56,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,56,54.128,yellow,
149,144.401,yellow,163,160.538,yellow,55,54.128,yellow,
148,144.401,yellow,167,160.538,yellow,55,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
149,144.401,yellow,166,160.538,yellow,53,54.128,yellow,
150,144.401,yellow,166,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,54,54.128,yellow,
147,144.401,yellow,166,160.538,yellow,54,54.128,yellow,
147,144.401,yellow,167,160.538,yellow,57,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,166,160.538,yellow,54,54.128,yellow,
148,144.401,yellow,167,160.538,yellow,50,54.128,yellow,
150,144.401,yellow,165,160.538,yellow,50,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,56,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
149,144.401,yellow,166,160.538,yellow,50,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
147,144.401,yellow,165,160.538,yellow,50,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,50,54.128,yellow,
151,144.401,yellow,164,160.538,yellow,49,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,51,54.128,yellow,
147,144.401,yellow,168,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,166,160.538,yellow,59,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
147,144.401,yellow,165,160.538,yellow,50,54.128,yellow,
146,144.401,yellow,165,160.538,yellow,58,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,50,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,50,54.128,yellow,
149,144.401,yellow,166,160.538,yellow,53,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
147,144.401,yellow,167,160.538,yellow,53,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,56,54.128,yellow,
150,144.401,yellow,163,160.538,yellow,51,54.128,yellow,
151,144.401,yellow,163,160.538,yellow,50,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,166,160.538,yellow,52,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
150,144.401,yellow,165,160.538,yellow,51,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
150,144.401,yellow,163,160.538,yellow,51,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,57,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,163,160.538,yellow,52,54.128,yellow,
151,144.401,yellow,164,160.538,yellow,54,54.128,yellow,
150,144.401,yellow,162,160.538,yellow,52,54.128,yellow,
148,144.401,yellow,163,160.538,yellow,60,54.128,yellow,
147,144.401,yellow,163,160.538,yellow,54,54.128,yellow,
146,144.401,yellow,165,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,168,160.538,yellow,54,54.128,yellow,
149,144.401,yellow,162,160.538,yellow,52,54.128,yellow,
152,144.401,yellow,165,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,162,160.538,yellow,49,54.128,yellow,
150,144.401,yellow,165,160.538,yellow,55,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
149,144.401,yellow,166,160.538,yellow,51,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
148,144.401,yellow,165,160.538,yellow,53,54.128,yellow,
148,144.401,yellow,164,160.538,yellow,50,54.128,yellow,
150,144.401,yellow,167,160.538,yellow,54,54.128,yellow,
150,144.401,yellow,162,160.538,yellow,50,54.128,yellow,
151,144.401,yellow,163,160.538,yellow,53,54.128,yellow,
149,144.401,yellow,163,160.538,yellow,51,54.128,yellow,
150,144.401,yellow,166,160.538,yellow,55,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,49,54.128,yellow,
150,144.401,yellow,165,160.538,yellow,50,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,50,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,162,160.538,yellow,54,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,52,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,55,54.128,yellow,
149,144.401,yellow,165,160.538,yellow,49,54.128,yellow,
150,144.401,yellow,166,160.538,yellow,55,54.128,yellow,
149,144.401,yellow,166,160.538,yellow,51,54.128,yellow,
150,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
147,144.401,yellow,164,160.538,yellow,51,54.128,yellow,
148,144.401,yellow,168,160.538,yellow,65,54.128,yellow,
149,144.401,yellow,164,160.538,yellow,53,54.128,yellow,
