#Blue on Pink:
#Observed Height	Actual Dist	
123	80
93.5	100
77	120
65	140
56	160
49	180
44	200
39	220
35.8	240
32.6	260
29.8	280
28	300
26	320
24.5	340
23	360

#Pink on Blue:
#Observed Height	Actual Dist
120	80
93.5	100
77	120
65	140
56	160
49.5	180
43.5	200
39	220
35.5	240
32.4	260
29.8	280
27.9	300
26	320
24.5	340
22.3	360

#Pink on Yellow:
#Observed Height	Actual Dist	
110	80
95	100
77	120
65	140
56	160
49	180
43	200
39	220
36	240
33	260
30	280
28	300
25.5	320
24	340
21	360


#Yellow on Pink:
#Observed Height	Actual Dist
110	80
89	100
77	120
66	140
56	160
48.5	180
43.5	200
39	220
35	240
32.5	260
29.5	280
27.5	300
25.5	320
24	340
22.5	360
